miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.812655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	1.625311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	3.250621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	3.250621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	110	89.392085	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2557	2077.959650	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6720	5461.043742	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13241	10760.369076	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	238	193.411966	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	4.063277	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.812655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.812655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	2.437966	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	17	13.815140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	29	23.567004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	1.625311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	5.688587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	8.939209	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	1.625311	N	mature,MIMAT0000062
