miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.110173	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.110173	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.110173	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	1.211898	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	14	1.542416	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	28	3.084831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	282	31.068656	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	12910	1422.327479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	27068	2982.150286	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	54389	5992.174224	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1299	143.114128	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	33	3.635694	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	12	1.322070	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	20	2.203451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	75	8.262940	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.110173	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	0.440690	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	0.881380	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.110173	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.330518	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.220345	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.110173	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.110173	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.110173	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	18	1.983106	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	76	8.373113	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	33	3.635694	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.110173	N	mature,MIMAT0004481
