miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.194427	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.194427	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.166561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.166561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.360988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	412	80.103886	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	15114	2938.568291	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17820	3464.687504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	24383	4740.711303	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	417	81.076021	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	1.360988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.194427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.194427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.583281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	1.555415	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.388854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.194427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	1.360988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	26	5.055100	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.388854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	2.138696	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.194427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	2	0.388854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.388854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.388854	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.194427	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	10	1.944269	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	30	5.832807	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	11	2.138696	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.194427	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.194427	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.194427	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.194427	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.194427	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146521-122146545:-	1	0.194427	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.388854	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	48	9.332492	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	23	4.471819	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	2	0.388854	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	22	4.277392	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146547:-	1	0.194427	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	2	0.388854	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.194427	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.194427	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146564-122146585:-	1	0.194427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	1	0.194427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	1.360988	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.194427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	435	84.575705	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.388854	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	0.777708	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	32	6.221661	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.194427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	10	1.944269	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	24032	4672.467458	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.777708	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.194427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	13	2.527550	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.194427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	0.583281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	17745	3450.105486	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	11	2.138696	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.388854	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	14747	2867.213615	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	10	1.944269	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	378	73.493371	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.194427	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	4	0.777708	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	4	0.777708	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	5	0.972135	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	8	1.555415	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	6	1.166561	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	80	15.554153	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	128	24.886644	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	44	8.554784	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.194427	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	464	90.214085	N	mature,MIMAT0000062
