miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	3	0.406192	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.135397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175979:+	3	0.406192	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.135397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.135397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	14	1.895564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	1.218577	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	21	2.843347	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.135397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1345	182.109582	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	26347	3567.316841	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	36342	4920.614439	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	41240	5583.791191	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	610	82.592450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	18	2.437154	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.270795	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.406192	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	1.218577	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.135397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.541590	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	13	1.760167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	24	3.249539	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.270795	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.135397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	10	1.353975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	19	2.572552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.135397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.135397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.270795	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.135397	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	2	0.270795	N	stemloop
hsa-let-7a-1	hg38:chr9:94176011-94176033:+	1	0.135397	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.135397	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.135397	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	27	3.655731	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	53	7.176065	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	2	0.270795	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.135397	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.135397	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.135397	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	2	0.270795	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	12	1.624770	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	17	2.301757	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	4	0.541590	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	21	2.843347	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146547:-	2	0.270795	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	5	0.676987	N	mature,MIMAT0010195
