miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.262915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	20	2.629147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	22	2.892062	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	40	5.258294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	567	74.536317	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	20243	2661.091122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	43268	5687.896590	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	84066	11051.093528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1956	257.130575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	50	6.572867	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	12	1.577488	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	27	3.549348	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	98	12.882820	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.262915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.525829	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	7	0.920201	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	58	7.624526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	132	17.352370	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.525829	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	0.920201	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	32	4.206635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.262915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.262915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.131457	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.131457	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	22	2.892062	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	73	9.596387	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	2.497690	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.131457	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.262915	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.262915	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	30	3.943720	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	13	1.708946	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.131457	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	31	4.075178	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	10	1.314573	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1963	258.050777	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	8	1.051659	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	30	3.943720	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	115	15.117595	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	7	0.920201	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	79	10.385131	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	83715	11004.951998	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	17	2.234775	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	10	1.314573	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	43	5.652666	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	8	1.051659	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	26	3.417891	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	43583	5729.305655	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	13	1.708946	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	4	0.525829	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	8	1.051659	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	20156	2649.654333	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	6	0.788744	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	592	77.822751	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	6	0.788744	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	4	0.525829	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.262915	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	5	0.657287	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	105	13.803022	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	202	26.554385	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	74	9.727844	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	584	76.771092	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	20187	2653.729511	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	43347	5698.281721	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	83642	10995.355612	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1916	251.872281	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	0.657287	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	12	1.577488	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	29	3.812263	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	89	11.699704	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	4	0.525829	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	7	0.920201	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	8	1.051659	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	4	0.525829	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	50	6.572867	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	122	16.037797	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	6	0.788744	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.131457	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	11	1.446031	N	mature,MIMAT0000062
