miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	2	0.281912	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.281912	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.281912	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.281912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	17	2.396250	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	26	3.664853	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	25	3.523897	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1722	242.726008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	38781	5466.409582	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	58520	8248.737494	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	67474	9510.856351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	982	138.418664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	2.255294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	16	2.255294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	14	1.973382	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	38	5.356323	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.140956	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.140956	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	7	0.986691	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.140956	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	5	0.704779	N	mature,MIMAT0000062
