miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.237248	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.423489	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	15	3.558721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	28	6.642947	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	683	162.040447	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	13715	3253.857595	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	54464	12921.480134	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	94188	22345.923378	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1642	389.561369	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	3.795969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.711744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	17	4.033218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.474496	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.711744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.660737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.474496	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.237248	N	stemloop
hsa-let-7a-1	hg38:chr9:94176007-94176029:+	1	0.237248	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.237248	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.237248	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	20	4.744962	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	39	9.252676	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	18	4.270466	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	7	1.660737	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	0.948992	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	7	1.660737	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.237248	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.237248	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	1.660737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1662	394.306330	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	8	1.897985	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	9	2.135233	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	15	3.558721	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	94825	22497.050413	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	1.186240	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.474496	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.474496	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	54766	12993.129058	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	9	2.135233	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	13825	3279.954885	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.474496	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	705	167.259906	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.237248	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.237248	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.711744	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	27	6.405699	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	73	17.319111	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	24	5.693954	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	682	161.803199	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	13674	3244.130423	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	54660	12967.980760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	94973	22532.163131	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1613	382.681174	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	0.948992	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.474496	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.711744	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	18	4.270466	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	1.423489	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.474496	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	1.186240	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.474496	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.237248	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.237248	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	18	4.270466	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	43	10.201668	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	16	3.795969	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.237248	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	33	7.829187	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	126	29.893260	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1108	262.870887	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	17848	4234.403963	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9830	2332.148754	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	21822	5177.227884	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3864	916.726631	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.237248	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	7	1.660737	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.474496	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	0.948992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.237248	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.237248	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.474496	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.237248	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	0.948992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.711744	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	5	1.186240	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.474496	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.237248	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.237248	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	0.474496	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.237248	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	3	0.711744	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	35	8.303683	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	91	21.589576	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.237248	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	0.711744	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.474496	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.237248	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	9	2.135233	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	66	15.658374	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	50	11.862405	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	36	8.540931	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	715	169.632386	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3828	908.185700	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	4176	990.748036	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	15122	3587.665661	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	627	148.754554	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	3	0.711744	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	2	0.474496	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	6	1.423489	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.237248	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.237248	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.237248	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	1	0.237248	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.237248	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539900:+	2	0.474496	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	0.948992	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	17	4.033218	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	48	11.387908	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	3	0.711744	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.237248	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	2	0.474496	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	3	0.711744	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	3	0.711744	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	3	0.711744	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	394	93.475749	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	673	159.667967	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	1401	332.384578	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	54	12.811397	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.474496	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	3	0.711744	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	6	1.423489	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	10	2.372481	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.474496	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178862:+	1	0.237248	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	2	0.474496	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178861:+	2	0.474496	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.237248	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178864:+	1	0.237248	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178863:+	1	0.237248	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178910:+	2	0.474496	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178911:+	2	0.474496	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	4	0.948992	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	9	2.135233	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	393	93.238501	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	666	158.007230	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1098	260.498406	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	0.948992	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178919:+	1	0.237248	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	8	1.897985	N	mature,MIMAT0004484
