miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.119620	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.119620	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.119620	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	28	3.349356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	21	2.512017	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	60	7.177191	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.239240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	940	112.442666	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	30447	3642.065806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	57890	6924.793560	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	93233	11152.518189	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1603	191.750632	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	22	2.631637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.239240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.478479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	22	2.631637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.239240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	8	0.956959	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	7	0.837339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.119620	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	118	14.115143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	237	28.349906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	0.598099	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.119620	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	24	2.870877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	104	12.440465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	5	0.598099	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175986:+	1	0.119620	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.239240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.239240	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	23	2.751257	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	60	7.177191	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	1.435438	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	14	1.674678	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.358860	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.119620	N	mature,MIMAT0010195
