miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	13	2.361810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.998454	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	2.725165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	673	122.269067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	23137	4203.476075	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	37608	6832.533528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	48402	8793.562216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	679	123.359133	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	0.726711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.181678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.545033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	1.453421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	16	2.906843	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.363355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.181678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.181678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	31	5.632008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	39	7.085429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.181678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.363355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	1.453421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.181678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	3	0.545033	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176031:+	1	0.181678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.181678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	16	2.906843	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	46	8.357172	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	2.906843	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.181678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.181678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.181678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.181678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.181678	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.363355	N	mature,MIMAT0010195
