miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.133680	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	6	0.802082	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	3	0.401041	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	3	0.401041	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.267361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	18	2.406247	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	26	3.475690	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	27	3.609371	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	2478	331.260039	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	39554	5287.594672	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	77321	10336.302464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	75455	10086.854832	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	837	111.890498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	17	2.272567	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.133680	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	10	1.336804	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	29	3.876732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	31	4.144093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.534722	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.534722	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	6	0.802082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	76	10.159711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	132	17.645813	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.267361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	16	2.138886	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	35	4.678814	N	mature,MIMAT0000062
