miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.125203	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.125203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.500814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	15	1.878051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	20	2.504068	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	204	25.541499	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7116	890.947567	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16075	2012.645045	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	39688	4969.073502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1221	152.873381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	24	3.004882	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	0.876424	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	11	1.377238	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	81	10.141477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.250407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	0.500814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	12	1.502441	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.125203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.375610	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.125203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	3	0.375610	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.125203	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.125203	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	4	0.500814	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.125203	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	16	2.003255	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	64	8.013019	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	40	5.008137	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.125203	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.125203	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	90	11.268308	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	28	3.505696	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146544:-	1	0.125203	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	9	1.126831	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	34	4.256916	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.375610	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1185	148.366058	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	0.626017	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	12	1.502441	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.125203	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	73	9.139850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	39570	4954.299498	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	1.126831	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	0.500814	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	16	2.003255	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	16206	2029.046694	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	8	1.001627	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.125203	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	14	1.752848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	7009	877.550801	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.375610	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	2	0.250407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	173	21.660192	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146592:-	1	0.125203	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	1	0.125203	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	5	0.626017	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.250407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.375610	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	57	7.136595	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	115	14.398394	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	75	9.390257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	207	25.917109	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6849	857.518253	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	16019	2005.633653	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	39579	4955.426329	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1227	153.624602	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	0.626017	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	5	0.626017	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	6	0.751221	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	25	3.130086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	82	10.266681	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	6	0.751221	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	2	0.250407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	0.751221	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	0.626017	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.250407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	0.626017	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.125203	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.125203	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	2	0.250407	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	13	1.627645	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	79	9.891071	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	25	3.130086	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.375610	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.250407	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.125203	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	14	1.752848	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	32	4.006510	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	631	79.003361	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	17365	2174.157462	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	8118	1016.401398	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	23503	2942.656080	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	6496	813.321444	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.375610	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	9	1.126831	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	10	1.252034	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	55	6.886188	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	30	3.756103	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.125203	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.125203	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.125203	N	mature,MIMAT0000063
