miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.730877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.514518	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	3.894474	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.216360	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	456	98.659998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11661	2522.969822	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	19411	4199.757071	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	36257	7844.551653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	612	132.412103	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	2.163596	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.216360	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	1.298158	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	10	2.163596	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.216360	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	2	0.432719	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.432719	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.432719	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.216360	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	44	9.519824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	134	28.992192	N	mature,MIMAT0000062
