miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.168784	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.337569	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	26	4.388397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.856629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	20	3.375690	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	948	160.007697	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	26654	4498.781798	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	34643	5847.201089	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	48658	8212.715717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1011	170.641119	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	2.700552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	10	1.687845	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	1.181491	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	23	3.882043	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.168784	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	5	0.843922	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	11	1.856629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.168784	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.675138	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	116	19.579001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	261	44.052752	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	11	1.856629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	11	1.856629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	60	10.127069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.168784	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	5	0.843922	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.337569	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.168784	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.337569	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.168784	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.168784	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	23	3.882043	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	48	8.101656	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	1.012707	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.168784	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.168784	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	1.519060	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	1.181491	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.675138	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.168784	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	1.687845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146584:-	1	0.168784	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	10	1.687845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	10	1.687845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.168784	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	931	157.138360	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	8	1.350276	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	61	10.295854	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	253	42.702476	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	9	1.519060	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	23	3.882043	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	48252	8144.189214	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.506353	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	15	2.531767	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	105	17.722371	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.337569	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	11	1.856629	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	33949	5730.064653	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.337569	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.337569	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	0.843922	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	26746	4514.309971	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	2	0.337569	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	999	168.615706	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	2	0.337569	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.168784	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.168784	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	0.675138	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.675138	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	94	15.865742	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	96	16.203311	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	24	4.050828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	947	159.838912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	26972	4552.455266	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	34059	5748.630947	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	48021	8105.199997	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	946	159.670128	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.337569	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	7	1.181491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	9	1.519060	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	27	4.557181	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.337569	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	6	1.012707	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	13	2.194198	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112775:+	1	0.168784	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	3	0.506353	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	120	20.254139	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	249	42.027338	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	13	2.194198	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	19	3.206905	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	81	13.671544	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	3	0.506353	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	4	0.675138	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112817:+	1	0.168784	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	20	3.375690	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	43	7.257733	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	5	0.843922	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.168784	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.168784	N	mature,MIMAT0004481
