miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.602060	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	3	0.602060	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.802746	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	2.207552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.404806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	688	138.072373	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	13630	2735.358207	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	22711	4557.793122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	27202	5459.076593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	275	55.188812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	0.401373	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.401373	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.802746	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	1.404806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.200687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.401373	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.200687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	1.806179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	42	8.428837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.200687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	6	1.204120	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	21	4.214418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.200687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.401373	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.200687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.200687	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.401373	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	3	0.602060	N	mature,MIMAT0004481
