miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.495143	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.165048	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.320381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	1.485429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	0.990286	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	438	72.290887	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11866	1958.455847	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	21645	3572.457172	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	27790	4586.675205	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	420	69.320028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	1.980572	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.660191	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	0.990286	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	19	3.135906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.165048	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.495143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.330095	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	71	11.718386	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	161	26.572678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.495143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	17	2.805811	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	73	12.048481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	6	0.990286	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.165048	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.165048	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.495143	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	8	1.320381	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	57	9.407718	N	mature,MIMAT0004481
