miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.533496	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.066992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	2.667481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	178	47.481164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5357	1428.969645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11715	3124.954153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22489	5998.898330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	509	135.774790	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	2.400733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.800244	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	1.333741	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.333741	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.266748	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.266748	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.266748	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	2.400733	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	23	6.135207	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	2.133985	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.266748	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.266748	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	28	7.468947	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	8	2.133985	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.266748	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.600489	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	494	131.773568	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.266748	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	6	1.600489	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	1.066992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22281	5943.414723	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.066992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.533496	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11682	3116.151465	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.266748	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.266748	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5403	1441.240059	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.533496	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	189	50.415394	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	1	0.266748	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.533496	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.266748	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	22	5.868459	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	28	7.468947	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	20	5.334962	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	170	45.347179	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5259	1402.828330	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11726	3127.888382	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	22623	6034.642578	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	511	136.308286	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	7	1.867237	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	1.333741	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.533496	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	4	1.066992	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.266748	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	17	4.534718	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	31	8.269192	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	12	3.200977	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.266748	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	1.066992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	42	11.203421	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	368	98.163306	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7171	1912.850724	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3226	860.529415	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	7943	2118.780268	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1747	466.008955	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.533496	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.533496	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	1.333741	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	5	1.333741	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.800244	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.266748	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.266748	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.533496	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	11	2.934229	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	49	13.070658	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.266748	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.266748	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	0.533496	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	20	5.334962	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	36	9.602932	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	42	11.203421	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	332	88.560374	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1560	416.127057	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1754	467.876192	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	6914	1844.296459	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	345	92.028099	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	4	1.066992	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	7	1.867237	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.266748	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.266748	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	1	0.266748	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	1	0.266748	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539865:+	1	0.266748	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.266748	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539901:+	1	0.266748	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	2	0.533496	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	1.066992	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	28	7.468947	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	77	20.539605	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	0.533496	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.266748	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.266748	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.533496	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	165	44.013439	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	301	80.291182	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	710	189.391161	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	45	12.003665	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	3	0.800244	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	3	0.800244	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	3	0.800244	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.266748	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178894-94178916:+	1	0.266748	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.266748	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178912:+	4	1.066992	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.266748	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	188	50.148645	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	582	155.247402	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1357	361.977190	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	5	1.333741	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	6	1.600489	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	12	3.200977	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	47	12.537161	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	2	0.533496	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	2	0.533496	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178899-94178917:+	1	0.266748	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.266748	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	3	0.800244	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	30	8.002443	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	38	10.136428	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	581	154.980654	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1940	517.491341	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	4981	1328.672355	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	140	37.344736	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	14	3.734474	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692798-51692820:+	1	0.266748	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692835-51692857:+	2	0.533496	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692854:+	1	0.266748	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692857:+	1	0.266748	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692858:+	2	0.533496	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.266748	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	10	2.667481	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	33	8.802688	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	39	10.403176	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	8	2.133985	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	9	2.400733	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	114	30.409285	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	61	16.271635	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	1558	415.593561	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	6037	1610.358363	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	16178	4315.450984	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	75	20.006109	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	2	0.533496	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	2	0.533496	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	5	1.333741	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176374:+	1	0.266748	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	12	3.200977	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	9	2.400733	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	3	0.800244	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	10	2.667481	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557224-53557246:-	1	0.266748	N	stemloop
