miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.331941	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.221294	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	18	1.991647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	2.102294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	33	3.651353	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	504	55.766117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	16709	1848.801681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	35524	3930.626065	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	64983	7190.177728	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1421	157.229468	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	31	3.430059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.110647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	10	1.106471	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	16	1.770353	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.442588	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.221294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.331941	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	70	7.745294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	171	18.920647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	7	0.774529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	17	1.881000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	80	8.851765	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	4	0.442588	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	7	0.774529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.221294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.110647	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.110647	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	33	3.651353	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	110	12.171176	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	41	4.536529	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.331941	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.331941	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.110647	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	28	3.098118	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	9	0.995824	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.442588	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146564-122146585:-	1	0.110647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	30	3.319412	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.221294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	4	0.442588	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.331941	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1315	145.500880	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.110647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	4	0.442588	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	80	8.851765	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	147	16.265117	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	4	0.442588	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	15	1.659706	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	64815	7171.589022	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	12	1.327765	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	30	3.319412	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	55	6.085588	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	3	0.331941	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	0.774529	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	35677	3947.555065	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	0.663882	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	3	0.331941	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.331941	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	16943	1874.693093	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	6	0.663882	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	552	61.077176	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.110647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.331941	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.221294	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.221294	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.221294	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.110647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	0.442588	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.110647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	54	5.974941	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	125	13.830882	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	51	5.643000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	502	55.544823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	16989	1879.782857	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	35997	3982.962124	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	65092	7202.238257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1360	150.479998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.110647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.110647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.331941	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	9	0.995824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	24	2.655529	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.221294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.110647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.221294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.221294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	82	9.073059	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	156	17.260941	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	6	0.663882	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	25	2.766176	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	62	6.860118	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	5	0.553235	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.221294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112817:+	1	0.110647	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	2	0.221294	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	33	3.651353	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	126	13.941529	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	21	2.323588	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.110647	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.221294	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.110647	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.110647	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	8	0.885176	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	53	5.864294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	902	99.803646	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	23113	2557.385437	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	8561	947.249458	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	20286	2244.586205	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4342	480.429523	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.331941	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.221294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.110647	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	13	1.438412	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	9	0.995824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	3	0.331941	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.221294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	62	6.860118	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	37	4.093941	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.110647	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	24	2.655529	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	10	1.106471	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.110647	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	3	0.331941	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.110647	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.110647	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	17	1.881000	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	167	18.478059	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.221294	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	12	1.327765	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	6	0.663882	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	3	0.331941	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	28	3.098118	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	152	16.818353	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	171	18.920647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	193	21.354882	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.110647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1172	129.678351	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	5438	601.698698	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	6500	719.205873	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	23914	2646.013730	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	901	99.692999	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	11	1.217118	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.110647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	23	2.544882	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.110647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.110647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	40	4.425882	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	3	0.331941	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	9	0.995824	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	2	0.221294	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539864:+	2	0.221294	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	1	0.110647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539879-16539901:+	1	0.110647	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	6	0.663882	N	mature,MIMAT0026472
