miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.164534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.329067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.809870	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	26	4.277874	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	444	73.052930	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11878	1954.330402	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	29524	4857.690754	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	57567	9471.707209	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	936	154.003473	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	24	3.948807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.658135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	19	3.126139	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.329067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.658135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.164534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	71	11.681887	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	211	34.716595	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.164534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	16	2.632538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	97	15.959762	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	6	0.987202	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.658135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.164534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176009-94176032:+	2	0.329067	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.164534	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.329067	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	26	4.277874	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	79	12.998156	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	28	4.606942	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.164534	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.329067	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	22	3.619740	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	13	2.138937	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.164534	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	2	0.329067	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	2.303471	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	7	1.151735	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	6	0.987202	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	849	139.689048	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	4	0.658135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	117	19.250434	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	188	30.932322	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.329067	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	1.316269	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	57470	9455.747447	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	0.987202	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	25	4.113341	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	87	14.314425	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.164534	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.164534	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	29441	4844.034463	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	0.822668	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.329067	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.493601	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	11857	1950.875195	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	0.658135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	488	80.292409	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.329067	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.164534	N	precursor
