miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.307724	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.307724	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	3.077243	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	2.154070	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	203	62.468035	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5749	1769.107064	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11331	3486.824168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	20708	6372.355033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	344	105.857163	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	2.769519	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	2.461794	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	38	11.693524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	89	27.387464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.615449	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	6	1.846346	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	41	12.616697	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.307724	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.307724	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	10	3.077243	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	22	6.769935	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	2	0.615449	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.307724	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.307724	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.307724	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	20	6.154486	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	17	5.231313	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	11	3.384967	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.307724	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	2	0.615449	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.307724	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146546:-	1	0.307724	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.615449	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	322	99.087228	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	52	16.001664	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	98	30.156982	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	1.846346	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	20751	6385.587178	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	1.538622	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	13	4.000416	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	31	9.539454	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.615449	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.615449	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11328	3485.900995	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	1.846346	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5647	1737.719184	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	6	1.846346	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	212	65.237554	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.307724	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	7	2.154070	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.307724	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.923173	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.615449	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	23	7.077659	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	31	9.539454	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	14	4.308140	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	215	66.160727	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5590	1720.178899	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11291	3474.515196	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	20715	6374.509103	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	329	101.241298	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.923173	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	2.461794	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	43	13.232145	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	109	33.541950	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	3	0.923173	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	7	2.154070	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	59	18.155734	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	4	1.230897	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.307724	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	10	3.077243	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	18	5.539038	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	5	1.538622	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.307724	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.307724	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	8	2.461794	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	28	8.616281	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	283	87.085980	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4597	1414.608658	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1873	576.367635	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5224	1607.551801	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1027	316.032867	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.307724	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.923173	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.307724	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.307724	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.615449	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.307724	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	12	3.692692	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	4	1.230897	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.307724	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	5	1.538622	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	7	2.154070	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	7	2.154070	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	37	11.385800	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.307724	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.307724	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.615449	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.615449	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.307724	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.307724	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	7	2.154070	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	53	16.309388	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	54	16.617113	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	55	16.924837	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.307724	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	485	149.246291	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1785	549.287895	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1870	575.444462	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	6893	2121.143676	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	242	74.469283	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	2	0.615449	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	8	2.461794	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.307724	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.307724	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	10	3.077243	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.307724	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	4	1.230897	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	1	0.307724	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539882:+	1	0.307724	N	stemloop
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.307724	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539904:+	1	0.307724	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	2	0.615449	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	6	1.846346	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	15	4.615865	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	26	8.000832	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.307724	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	1	0.307724	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	3	0.923173	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	4	1.230897	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	11	3.384967	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	3	0.923173	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	167	51.389960	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	362	111.396201	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	902	277.567329	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	38	11.693524	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.307724	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.307724	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	16	4.923589	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178862:+	3	0.923173	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	4	1.230897	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178864:+	3	0.923173	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178862:+	2	0.615449	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	2	0.615449	N	mature,MIMAT0000065
