miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	5	0.744122	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.148824	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	12	1.785893	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	1.934718	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	1.637069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.148824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1010	150.312695	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	23700	3527.139478	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	42445	6316.853803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	45017	6699.630290	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	620	92.271159	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	11	1.637069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.148824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	12	1.785893	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	25	3.720611	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	49	7.292398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.446473	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.297649	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.148824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	27	4.018260	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	45	6.697100	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.446473	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	0.595298	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	27	4.018260	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.297649	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.595298	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.148824	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.148824	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.297649	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.148824	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.297649	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	52	7.738871	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	101	15.031270	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	17	2.530016	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.148824	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.297649	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.446473	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	1	0.148824	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176035:+	1	0.148824	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	11	1.637069	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	13	1.934718	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.148824	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.148824	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.148824	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146547:-	1	0.148824	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	3	0.446473	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146529-122146548:-	1	0.148824	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	12	1.785893	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.148824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	583	86.764655	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.148824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	5	0.744122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	20	2.976489	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	35	5.208856	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.148824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	44	6.548276	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	44787	6665.400667	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.446473	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	8	1.190596	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	30	4.464734	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.148824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	33	4.911207	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	42850	6377.127706	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	8	1.190596	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	3	0.446473	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	13	1.934718	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	23696	3526.544180	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	10	1.488245	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1044	155.372726	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.297649	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	2	0.297649	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.446473	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.297649	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.297649	N	precursor
hsa-let-7a-3	hg38:chr22:46112746-46112774:+	1	0.148824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.297649	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	61	9.078291	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	52	7.738871	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	18	2.678840	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.148824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	1021	151.949764	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	23447	3489.486892	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	42528	6329.206233	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	45342	6747.998237	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	626	93.164106	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.297649	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	3	0.446473	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	7	1.041771	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	28	4.167085	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	54	8.036520	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.148824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	3	0.446473	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.297649	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	22	3.274138	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	43	6.399451	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.148824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	6	0.892947	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	23	3.422962	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112797-46112820:+	1	0.148824	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	2	0.297649	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.148824	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	64	9.524765	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	117	17.412461	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	19	2.827665	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	3	0.446473	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	5	0.744122	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112821:+	1	0.148824	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.148824	N	mature,MIMAT0004481
