miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.239066	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.239066	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	2.151598	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.912532	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.673465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	479	114.512841	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11432	2733.007932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	20904	4997.445575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	31772	7595.620015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	520	124.314567	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	1.434399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.956266	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	13	3.107864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	20	4.781329	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.239066	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.239066	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.717199	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.478133	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	60	14.343988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	154	36.816237	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.956266	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	20	4.781329	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	103	24.623847	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	6	1.434399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	7	1.673465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175986:+	1	0.239066	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.478133	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.717199	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.478133	N	mature,MIMAT0004481
