miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.181749	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.181749	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.181749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	1.635739	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.453990	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	0.726995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	658	119.590702	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	18773	3411.969975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	21087	3832.536668	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	24243	4406.135839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	289	52.525399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	0.363498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.181749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	1.272242	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	13	2.362734	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	21	3.816725	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.181749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.363498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	99	17.993130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	167	30.352047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	0.908744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.181749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	27	4.907217	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	73	13.267661	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.363498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.545246	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.181749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.181749	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176031:+	1	0.181749	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.181749	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.181749	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.363498	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	76	13.812908	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	126	22.900347	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	4.543720	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.181749	N	mature,MIMAT0004481
