miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175937-94175962:+	2	0.223289	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.223289	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.111645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	3	0.334934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	20	2.232894	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	38	4.242499	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	21	2.344539	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.111645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1198	133.750378	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	35881	4005.924316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	56448	6302.121339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	73345	8188.582228	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1302	145.361430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	2.232894	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	21	2.344539	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	30	3.349342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	56	6.252105	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	4	0.446579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	5	0.558224	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.223289	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.446579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	47	5.247302	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	70	7.815131	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.111645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	10	1.116447	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	29	3.237697	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.111645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.223289	N	mature,MIMAT0000062
