miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.679101	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.697753	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	4.074606	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	68	23.089434	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2651	900.148384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6156	2090.272897	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13987	4749.292886	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	286	97.111444	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	2.376854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	1.018652	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	3.395505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.339551	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.339551	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.339551	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.358202	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	2.376854	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	1.358202	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	1.018652	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	11	3.735056	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.679101	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	1.697753	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	286	97.111444	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	1.358202	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	12	4.074606	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	2.716404	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	13843	4700.397614	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	1.018652	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.679101	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	7	2.376854	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6022	2044.773129	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2772	941.233994	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	90	30.559545	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	35	11.884268	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	59	20.033480	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	46	15.619323	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	72	24.447636	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2732	927.651974	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5981	2030.851559	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	13828	4695.304356	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	284	96.432343	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	9	3.055955	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.339551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	1.358202	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	2.037303	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	4	1.358202	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	2.376854	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	11	3.735056	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	4	1.358202	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.339551	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.339551	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.339551	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	1.358202	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	17	5.772359	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	300	101.865151	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	6775	2300.454658	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3515	1193.520018	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	10400	3531.325232	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2075	704.567294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.339551	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	6	2.037303	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.339551	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.679101	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	7	2.376854	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.339551	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.339551	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.679101	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.339551	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.679101	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	2.716404	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	35	11.884268	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113765:+	1	0.339551	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	6	2.037303	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.339551	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	5	1.697753	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	35	11.884268	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	49	16.637975	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	23	7.809662	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.679101	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	168	57.044485	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1191	404.404649	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1498	508.646654	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	7379	2505.543162	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	305	103.562903	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	5	1.697753	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	1.358202	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.339551	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	7	2.376854	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	3	1.018652	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.339551	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	3	1.018652	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	10	3.395505	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	15	5.093258	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	0.679101	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	3	1.018652	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.679101	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	89	30.219995	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	319	108.316610	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	1042	353.811624	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	59	20.033480	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.339551	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	5	1.697753	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	13	4.414157	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	3	1.018652	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178862:+	1	0.339551	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	2	0.679101	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.339551	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	45	15.279773	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	287	97.450994	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	740	251.267372	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	1.018652	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.339551	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	11	3.735056	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	42	14.261121	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178916:+	1	0.339551	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692770-51692793:+	1	0.339551	N	precursor
hsa-let-7e	hg38:chr19:51692772-51692793:+	5	1.697753	N	precursor
hsa-let-7e	hg38:chr19:51692773-51692793:+	1	0.339551	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	2	0.679101	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	11	3.735056	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	24	8.149212	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	447	151.779075	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1491	506.269800	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3014	1023.405216	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	127	43.122914	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	15	5.093258	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	1	0.339551	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.339551	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692796-51692815:+	1	0.339551	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692835-51692857:+	1	0.339551	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692858:+	1	0.339551	N	mature,MIMAT0004485
