miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.240621	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.240621	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	1.684348	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.443727	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	2.165590	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	217	52.214785	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6245	1502.678955	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12348	2971.189710	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	21789	5242.893796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	394	94.804725	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	2.406211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.240621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	9	2.165590	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	19	4.571801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.240621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.481242	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	12	2.887454	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	29	6.978013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.240621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	1.684348	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	24	5.774907	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.240621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.240621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.240621	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	19	4.571801	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	41	9.865466	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	1.684348	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	0.721863	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.240621	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.203106	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.240621	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.240621	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.481242	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	370	89.029818	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.240621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	18	4.331180	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	32	7.699876	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.240621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	24	5.774907	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22086	5314.358272	N	mature,MIMAT0000062
