miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.185101	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.370203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	2.036115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	15	2.776520	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	2.776520	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	953	176.401578	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	23398	4331.001180	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	41280	7640.983362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	51981	9621.752813	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	751	139.011107	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	18	3.331824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	4	0.740405	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	27	4.997736	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	57	10.550776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	115	21.286654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.185101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.185101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.370203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	21	3.887128	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	45	8.329560	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.370203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	12	2.221216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.370203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.185101	N	stemloop
hsa-let-7a-1	hg38:chr9:94175985-94176006:+	1	0.185101	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.370203	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	21	3.887128	N	mature,MIMAT0004481
