miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.199098	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.398196	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	2.190078	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	39	7.764821	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	151	30.063793	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5324	1059.997575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12022	2393.555756	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	31296	6230.969967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	895	178.192680	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	31	6.172037	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.796392	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.398196	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	1.194588	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	13	2.588274	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.398196	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	3	0.597294	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.199098	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.194588	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	22	4.380155	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	0.796392	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.199098	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	1.791882	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.597294	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.597294	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.199098	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	19	3.782861	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	876	174.409819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	0.796392	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	12	2.389176	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	0.995490	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	31585	6288.509280	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.597294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	0.796392	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11927	2374.641449	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.597294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5100	1015.399630	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	168	33.448458	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.398196	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.199098	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.597294	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	17	3.384665	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	34	6.769331	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	15	2.986470	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	149	29.665597	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5358	1066.766906	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11928	2374.840547	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	31432	6258.047291	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	846	168.436880	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.398196	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	0.796392	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	14	2.787372	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.199098	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	6	1.194588	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.199098	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.597294	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	23	4.579253	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	10	1.990980	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.199098	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	0.597294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	11	2.190078	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	275	54.751941	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4849	965.426041	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2080	414.123771	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	6949	1383.531771	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2337	465.291948	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.199098	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.199098	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.398196	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.199098	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.199098	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.199098	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	0.597294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113741-46113766:+	1	0.199098	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	9	1.791882	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	39	7.764821	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.199098	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	0.597294	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.199098	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	2	0.398196	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	8	1.592784	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	57	11.348584	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	83	16.525131	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	99	19.710699	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	4	0.796392	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	324	64.507741	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1591	316.764865	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1840	366.340259	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	12764	2541.286448	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	851	169.432370	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	12	2.389176	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	15	2.986470	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	1	0.199098	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.398196	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.199098	N	stemloop
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.199098	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	7	1.393686	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	19	3.782861	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	67	13.339564	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	3	0.597294	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.199098	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	4	0.796392	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.199098	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	136	27.077323	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	311	61.919468	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	1170	232.944621	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	87	17.321523	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.398196	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	3	0.597294	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	17	3.384665	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.398196	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178865:+	1	0.199098	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178892-94178915:+	1	0.199098	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178894-94178917:+	1	0.199098	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	3	0.597294	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	95	18.914307	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	572	113.884037	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	2121	422.286787	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	8	1.592784	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	4	0.796392	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	22	4.380155	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	101	20.108895	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	2	0.398196	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	3	0.597294	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	18	3.583763	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	25	4.977449	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	531	105.721020	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1877	373.706884	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	6022	1198.967956	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	215	42.806063	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	39	7.764821	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	2	0.398196	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.199098	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692795-51692817:+	1	0.199098	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692798-51692821:+	1	0.199098	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692835-51692858:+	1	0.199098	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692835-51692859:+	1	0.199098	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692858:+	1	0.199098	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.199098	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	5	0.995490	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	54	10.751290	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	85	16.923327	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	2	0.398196	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	2	0.398196	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	7	1.393686	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	62	12.344074	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	60	11.945878	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	1715	341.453013	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	7445	1482.284362	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	25799	5136.528444	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	172	34.244850	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	9	1.791882	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	1	0.199098	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	1	0.199098	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176374:+	1	0.199098	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	1	0.199098	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	3	0.597294	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	5	0.995490	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176376:+	1	0.199098	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.199098	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	8	1.592784	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	4	0.796392	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176403-94176426:+	1	0.199098	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176403-94176430:+	1	0.199098	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176428:+	1	0.199098	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	24	4.778351	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	2	0.398196	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	2	0.398196	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	2	0.398196	N	mature,MIMAT0000067
