miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.200675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	1.404728	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	2.608781	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	2.207430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	802	160.941698	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	21514	4317.331274	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	27595	5537.638584	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	30812	6183.211453	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	393	78.865445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	1.003377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.200675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	16	3.210807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	25	5.016886	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	56	11.237824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.200675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.200675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	5	1.003377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.200675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	19	3.812833	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	37	7.424991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.200675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	6	1.204053	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	2.207430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.401351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.200675	N	stemloop
