miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	16	1.216457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	39	2.965114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	74	5.626113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	519	39.458820	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	22645	1721.666610	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	63182	4803.636111	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	137765	10474.073769	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2528	192.200185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	34	2.584971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.076029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	10	0.760286	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	57	4.333628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	176	13.381026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	9	0.684257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.152057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.152057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	0.684257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	19	1.444543	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.152057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.076029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.152057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.228086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.228086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.304114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.076029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.076029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.076029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.076029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.076029	N	stemloop
