miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175933-94175962:+	1	0.183283	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	3	0.549848	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.466262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	2.382676	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	1.649545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	804	147.359326	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	21115	3870.015145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	32496	5955.956057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	39992	7329.843508	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	435	79.727994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	0.733131	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.549848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	1.466262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	31	5.681765	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.366565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.366565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.733131	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.733131	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	56	10.263834	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	127	23.276909	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	27	4.948634	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	75	13.746206	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.366565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.366565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	3	0.549848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.183283	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.366565	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	47	8.614289	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	90	16.495447	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	2.199393	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.183283	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.183283	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.183283	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	11	2.016110	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.183283	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.183283	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.549848	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	2	0.366565	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	0.549848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	0.549848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	6	1.099696	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	445	81.560821	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	5	0.916414	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	57	10.447116	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	152	27.858977	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	9	1.649545	N	mature,MIMAT0000062
