miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.202330	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.101165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	15	1.517477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	1.922137	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	1.719807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1599	161.763025	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	37559	3799.660692	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	57469	5813.858205	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	61064	6177.546807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	566	57.259457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	0.606991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.101165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	18	1.820972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	28	2.832623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	46	4.653595	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.101165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.101165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	5	0.505826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	6	0.606991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.202330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	56	5.665247	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	87	8.801365	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.202330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.101165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.101165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	17	1.719807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	35	3.540779	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.202330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.404660	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.101165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.101165	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.303495	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.202330	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	122	12.342144	N	mature,MIMAT0004481
