miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.597036	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.791108	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	2.388144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	87	51.942128	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2310	1379.153057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3553	2121.268749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	8636	5156.002510	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	135	80.599854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	2.388144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.597036	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	1.194072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	3.582216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	21	12.537755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	2.388144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.597036	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.597036	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	1.791108	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	20	11.940719	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	2.985180	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	20	11.940719	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	12	7.164431	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	1.791108	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.597036	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.597036	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	1.791108	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	1.194072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	144	85.973178	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	1.791108	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	22	13.134791	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.597036	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.597036	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	8351	4985.847263	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.194072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	1.194072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	12	7.164431	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3555	2122.462821	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.597036	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2233	1333.181288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	59	35.225121	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.597036	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	1.791108	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.597036	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.597036	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	10	5.970360	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	23	13.731827	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	9	5.373324	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	65	38.807337	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2381	1421.542610	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3650	2179.181237	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	8338	4978.085795	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	167	99.705005	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.597036	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112775:+	1	0.597036	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.597036	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	3.582216	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	23	13.731827	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	3	1.791108	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	6	3.582216	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	8	4.776288	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	21	12.537755	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	3	1.791108	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.597036	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.597036	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	2.388144	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	12	7.164431	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	223	133.139018	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4238	2530.238379	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1293	771.967490	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	3740	2232.914473	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	698	416.731097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	1.194072	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	1.194072	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.597036	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	17	10.149611	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	4	2.388144	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.597036	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	1.791108	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	1.194072	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.597036	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	21	12.537755	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	75	44.777697	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113747-46113765:+	1	0.597036	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539856:+	1	0.597036	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	6	3.582216	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	34	20.299222	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	34	20.299222	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	54	32.239942	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	1.194072	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	278	165.975996	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1138	679.426917	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1300	776.146742	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5159	3080.108493	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	211	125.974587	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	1.194072	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	10	5.970360	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	5	2.985180	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.597036	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539900:+	1	0.597036	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	4	2.388144	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	9	5.373324	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	38	22.687366	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	73	43.583625	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	1.194072	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	1	0.597036	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.597036	N	mature,MIMAT0000065
