miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.290577	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	2	0.290577	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.145288	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	14	2.034036	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	14	2.034036	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	1.307594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1107	160.834094	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	28441	4132.143151	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	34409	4999.223434	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	37647	5469.666792	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	413	60.004048	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	0.290577	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	8	1.162306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	12	1.743459	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	33	4.794512	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.435865	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.290577	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	70	10.170178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	68	9.879601	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	17	2.469900	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	27	3.922783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.290577	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.145288	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	4	0.581153	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	54	7.845566	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	75	10.896619	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	1.743459	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.145288	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.581153	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	16	2.324612	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	16	2.324612	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	17	2.469900	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.145288	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	0.871730	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.290577	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.435865	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	417	60.585201	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	7	1.017018	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	31	4.503936	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	91	13.221231	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	5	0.726441	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	30	4.358648	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	37586	5460.804208	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	0.871730	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	9	1.307594	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	57	8.281430	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.290577	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	18	2.615189	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	34548	5019.418501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	11	1.598171	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146588:-	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	7	1.017018	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	28150	4089.864270	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	15	2.179324	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1135	164.902165	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	2	0.290577	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	7	1.017018	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.290577	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	9	1.307594	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.435865	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	60	8.717295	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	60	8.717295	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	24	3.486918	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	1074	156.039582	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	28378	4122.989992	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	34245	4975.396161	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	37954	5514.270285	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	388	56.371841	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	9	1.307594	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	17	2.469900	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	31	4.503936	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	2	0.290577	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	5	0.726441	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	5	0.726441	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.290577	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	60	8.717295	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	81	11.768348	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.145288	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	14	2.034036	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	33	4.794512	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	3	0.435865	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	3	0.435865	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112799-46112821:+	1	0.145288	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	2	0.290577	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	2	0.290577	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	42	6.102107	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	80	11.623060	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	1.888747	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.145288	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.145288	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	2	0.290577	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112825:+	1	0.145288	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.145288	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	39	5.666242	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	112	16.272284	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	3045	442.402725	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	42897	6232.430110	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	12335	1792.130578	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	14143	2054.811736	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1230	178.704549	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.290577	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	16	2.324612	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	5	0.726441	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	11	1.598171	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.145288	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.145288	N	mature,MIMAT0000063
