miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.175477	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.175477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	1.930244	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	15	2.632151	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	32	5.615256	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.350953	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	398	69.839742	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	12985	2278.565464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	29115	5109.005273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	52143	9149.883633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1056	185.303437	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	19	3.334058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.175477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.175477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	1.579291	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.175477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.350953	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	6	1.052860	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.175477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	30	5.264302	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	82	14.389093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.350953	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	0.877384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	29	5.088825	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.175477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.526430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	13	2.281198	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	36	6.317163	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	17	2.983105	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.175477	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	37	6.492639	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	1.228337	N	mature,MIMAT0010195
