miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.078429	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	5	0.392145	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.078429	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	16	1.254862	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	33	2.588154	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	50	3.921445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1031	80.860202	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	29969	2350.435880	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	63615	4989.254848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	101426	7954.730208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2425	190.190097	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	54	4.235161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.313716	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	20	1.568578	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.313716	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	6	0.470573	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	54	4.235161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	85	6.666457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.156858	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	14	1.098005	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	42	3.294014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.156858	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	12	0.941147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.078429	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	5	0.392145	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.156858	N	stemloop
hsa-let-7a-1	hg38:chr9:94176011-94176034:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	23	1.803865	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	76	5.960597	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	60	4.705734	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146544:-	1	0.078429	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	46	3.607730	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	9	0.705860	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	3	0.235287	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	8	0.627431	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	2	0.156858	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	41	3.215585	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	5	0.392145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.156858	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2400	188.229374	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	9	0.705860	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	49	3.843016	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	103	8.078177	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	4	0.313716	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	16	1.254862	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	100545	7885.634342	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	14	1.098005	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	13	1.019576	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	46	3.607730	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	4	0.313716	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	8	0.627431	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	63971	5017.175538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	14	1.098005	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.156858	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.156858	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	29828	2339.377405	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	12	0.941147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1021	80.075913	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	2	0.156858	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	4	0.313716	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146592:-	1	0.078429	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.235287	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.078429	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.156858	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	2	0.156858	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	7	0.549002	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.235287	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	168	13.176056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	343	26.901115	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	112	8.784037	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	1051	82.428780	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	29649	2325.338631	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	63880	5010.038508	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	101260	7941.711010	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2427	190.346955	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.235287	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	11	0.862718	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	19	1.490149	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	6	0.470573	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	5	0.392145	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112775:+	2	0.156858	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.156858	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	46	3.607730	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	108	8.470322	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	4	0.313716	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.078429	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	13	1.019576	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	35	2.745012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.156858	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	3	0.235287	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112797-46112820:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112798-46112821:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	3	0.235287	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	23	1.803865	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	88	6.901744	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	56	4.392019	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.078429	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.078429	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113709:+	1	0.078429	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.078429	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	27	2.117580	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	124	9.725184	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2317	181.719775	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	58628	4598.129894	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	27227	2135.383820	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	45065	3534.398644	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	7813	612.765042	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.235287	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	12	0.941147	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	3	0.235287	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	14	1.098005	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	4	0.313716	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.078429	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113710:+	1	0.078429	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.156858	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	59	4.627305	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	27	2.117580	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	2	0.156858	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.078429	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	40	3.137156	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	11	0.862718	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.078429	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113738-46113758:+	1	0.078429	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113739-46113763:+	1	0.078429	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.078429	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.078429	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.078429	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	63	4.941021	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	289	22.665954	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.078429	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.078429	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113766:+	1	0.078429	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539855:+	1	0.078429	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	14	1.098005	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	10	0.784289	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	2	0.156858	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	4	0.313716	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	38	2.980298	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	275	21.567949	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	276	21.646378	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	169	13.254485	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.156858	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1977	155.053947	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	9508	745.702037	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	12476	978.479030	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	41050	3219.506586	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1387	108.780892	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	19	1.490149	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.078429	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.078429	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	4	0.313716	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	31	2.431296	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	0.156858	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.078429	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.078429	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	12	0.941147	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.078429	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	8	0.627431	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	4	0.313716	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539861:+	1	0.078429	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	1	0.078429	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539882:+	3	0.235287	N	stemloop
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.078429	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.078429	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	0.313716	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	60	4.705734	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	183	14.352490	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	7	0.549002	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.078429	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	4	0.313716	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	3	0.235287	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	2	0.156858	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	12	0.941147	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	15	1.176434	N	mature,MIMAT0000065
