miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.137501	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	8	1.100010	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	2	0.275003	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	4	0.550005	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.137501	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.137501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.137501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.275003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	13	1.787517	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	28	3.850036	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	26	3.575034	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.137501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1608	221.102076	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	30927	4252.502420	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	68390	9403.713277	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	85632	11774.510533	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1118	153.726443	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	2.750026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	0.962509	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	18	2.475023	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	35	4.812545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.137501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.137501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	5	0.687506	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	90	12.375116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	124	17.050160	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.137501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.137501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.137501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	22	3.025028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	56	7.700072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	10	1.375013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	3	0.412504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.137501	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.412504	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.137501	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	42	5.775054	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	96	13.200124	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	1.237512	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.275003	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.137501	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.137501	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	1.100010	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	1.512514	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.137501	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.275003	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	3	0.412504	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146546:-	1	0.137501	N	mature,MIMAT0010195
