miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.154321	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.462963	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.154321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	15	2.314816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.697532	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	1.388890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	994	153.395133	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	28530	4402.779816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	41613	6421.762232	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	41330	6378.089373	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	427	65.895092	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	0.617284	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.308642	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	0.771605	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	13	2.006174	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.462963	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.154321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	25	3.858026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	42	6.481484	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.617284	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	8	1.234568	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	31	4.783953	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.154321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	5	0.771605	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.154321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176004:+	1	0.154321	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.154321	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.154321	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.308642	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	62	9.567906	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	74	11.419758	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	2.932100	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.154321	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.154321	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	56	8.641979	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	43	6.635806	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.154321	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	24	3.703705	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.154321	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	8	1.234568	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146548:-	2	0.308642	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	0.617284	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.308642	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.154321	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	458	70.679045	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.308642	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	15	2.314816	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	35	5.401237	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	13	2.006174	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	41230	6362.657267	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	8	1.234568	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	6	0.925926	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	19	2.932100	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.308642	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	5	0.771605	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	42206	6513.274620	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	12	1.851853	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.308642	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146588:-	2	0.308642	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	6	0.925926	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	28456	4391.360058	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	15	2.314816	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1014	156.481554	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	4	0.617284	N	mature,MIMAT0000062
