miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.337764	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.337764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.337764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	2.702114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	4.390935	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	4.390935	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	490	165.504476	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	13134	4436.195491	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	34729	11730.214193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	41562	14038.157226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	529	178.677281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	2.364350	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	15	5.066464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	29	9.795163	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	55	18.577033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.675528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	1.013293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.675528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	28	9.457399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	45	15.199391	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.337764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.337764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	6	2.026585	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	16	5.404228	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.337764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.675528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.337764	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	10	3.377642	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	25	8.444106	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	2.026585	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.688821	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146546:-	1	0.337764	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.351057	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	3.039878	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.337764	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.337764	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.337764	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	527	178.001753	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.675528	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	17	5.741992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	42	14.186098	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.337764	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	49	16.550448	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	41750	14101.656902	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	1.013293	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	8	2.702114	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	24	8.106342	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	37	12.497277	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	34821	11761.288503	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	1.688821	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.337764	N	mature,MIMAT0000062
