miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.139114	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.278228	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.556455	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	1.669366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	35	4.868985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.139114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	173	24.066699	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7770	1080.914746	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	19865	2763.496966	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	50599	7039.022553	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1537	213.818013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	29	4.034302	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.139114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.417342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	20	2.782277	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	89	12.381134	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.417342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.417342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	1.391139	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	0.834683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.139114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.139114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.139114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.278228	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.278228	N	stemloop
hsa-let-7a-1	hg38:chr9:94176011-94176033:+	1	0.139114	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.139114	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	2.086708	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	59	8.207718	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	31	4.312530	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.139114	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.278228	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.139114	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.139114	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.139114	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.139114	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	50	6.955693	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	33	4.590758	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	12	1.669366	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.278228	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146548:-	1	0.139114	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	2	0.278228	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146548:-	2	0.278228	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146546:-	1	0.139114	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146564-122146585:-	2	0.278228	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	1	0.139114	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	34	4.729871	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.278228	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.139114	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.417342	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1590	221.191048	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	0.695569	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	18	2.504050	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	91	12.659362	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	50652	7046.395588	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	21	2.921391	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.278228	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	8	1.112911	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	20	2.782277	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	19709	2741.795203	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	14	1.947594	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.278228	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.278228	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	7691	1069.924751	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.417342	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	196	27.266318	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146585-122146602:-	1	0.139114	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146585-122146605:-	1	0.139114	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	6	0.834683	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.278228	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146615:-	1	0.139114	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.278228	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.139114	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	59	8.207718	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	156	21.701763	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	154	21.423536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.278228	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	216	30.048595	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	7787	1083.279682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	19318	2687.401681	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	50673	7049.316979	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1502	208.949028	N	mature,MIMAT0000062
