miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.942706	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.942706	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	55	51.848835	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	804	757.935700	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	918	865.404195	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	1306	1231.174159	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	27	25.453065	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.942706	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.942706	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	2.828118	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	4.713530	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.942706	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	2.828118	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	5.656237	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.942706	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.942706	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	1	0.942706	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	4.713530	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	2.828118	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	14	13.197885	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.942706	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	10	9.427061	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	2.828118	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	1272	1199.122152	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	2.828118	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.942706	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.942706	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	925	872.003137	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	836	788.102295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	54	50.906129	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	1.885412	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.942706	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.942706	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	4	3.770824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	5	4.713530	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	2	1.885412	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	49	46.192599	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	793	747.565933	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	915	862.576076	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	1351	1273.595934	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	11	10.369767	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	2.828118	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	5.656237	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.942706	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	7	6.598943	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	1.885412	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	3	2.828118	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	1	0.942706	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.942706	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.942706	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.942706	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.942706	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.942706	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	16	15.083298	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	72	67.874839	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	802	756.050288	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	194	182.884982	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	424	399.707384	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	79	74.473781	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.942706	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.942706	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.942706	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.942706	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.942706	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.942706	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.942706	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.942706	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.942706	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	2	1.885412	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	7	6.598943	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.942706	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	5	4.713530	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	9	8.484355	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	5	4.713530	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	72	67.874839	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	226	213.051577	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	126	118.780968	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	488	460.040574	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	16	15.083298	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.942706	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.942706	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	1	0.942706	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.942706	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	3	2.828118	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	26	24.510358	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.942706	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	2	1.885412	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	2	1.885412	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	5	4.713530	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.942706	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	37	34.880125	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	67	63.161308	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	85	80.130018	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	1	0.942706	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.942706	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	1.885412	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	3	2.828118	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178862:+	2	1.885412	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178847-94178863:+	1	0.942706	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178863:+	1	0.942706	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	5	4.713530	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.942706	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	6	5.656237	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	3	2.828118	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	41	38.650950	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	164	154.603799	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	448	422.332330	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	3.770824	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178911:+	1	0.942706	N	mature,MIMAT0004484
