miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.375945	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.187972	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.503778	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.315806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	0.939861	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1240	233.085642	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	28927	5437.474495	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	20546	3862.078714	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	19997	3758.881926	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	271	50.940491	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	0.375945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.187972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	0.939861	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	1.315806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	14	2.631612	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.187972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	8	1.503778	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	33	6.203086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	43	8.082809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.751889	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	3	0.563917	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	9	1.691751	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	45	8.458753	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.375945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.375945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.187972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.187972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.187972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.187972	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.187972	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.187972	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	4	0.751889	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	3	0.563917	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	100	18.797229	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	84	15.789673	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	15	2.819584	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.187972	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.187972	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176033:+	1	0.187972	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	40	7.518892	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	43	8.082809	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	3	0.563917	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	39	7.330919	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.375945	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	8	1.503778	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	3	0.563917	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146546:-	1	0.187972	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.187972	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	4	0.751889	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	0.751889	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.375945	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.187972	N	mature,MIMAT0000062
