miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.090055	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.090055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	3	0.270166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	21	1.891161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	23	2.071271	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	28	2.521548	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1237	111.398377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	38282	3447.496108	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	69463	6255.509694	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	95564	8606.042475	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1624	146.249770	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	14	1.260774	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	2	0.180111	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	14	1.260774	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	30	2.701658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	90	8.104975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.180111	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.090055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.270166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	10	0.900553	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.270166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	88	7.924864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	123	11.076799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.360221	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	22	1.981216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	45	4.052487	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	4	0.360221	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.270166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.090055	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	84	7.564643	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	153	13.778457	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	32	2.881769	N	mature,MIMAT0004481
