miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	5	0.671047	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	3	0.402628	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175979:+	2	0.268419	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	3	0.402628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.134209	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	13	1.744723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	14	1.878933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	30	4.026285	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1065	142.933105	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	31200	4187.336046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	48415	6497.752394	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	61570	8263.278217	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	929	124.680615	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	13	1.744723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.134209	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.536838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	12	1.610514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	17	2.281561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.402628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.536838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.268419	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	41	5.502589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	73	9.797293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.402628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	9	1.207885	N	mature,MIMAT0000062
