miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.173583	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.909418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	27	4.686754	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	139	24.128103	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5606	973.108969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	14402	2499.949227	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	39764	6902.373355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	937	162.647717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	3.471670	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.347167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	1.909418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.173583	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	1.215084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	24	4.166003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	0.867917	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.173583	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	2	0.347167	N	stemloop
hsa-let-7a-1	hg38:chr9:94176012-94176034:+	1	0.173583	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	0.867917	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	25	4.339587	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	24	4.166003	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.347167	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.173583	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	3	0.520750	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	52	9.026341	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	17	2.950919	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.173583	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146547:-	1	0.173583	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	7	1.215084	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146548:-	1	0.173583	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.173583	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	12	2.083002	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.173583	N	mature,MIMAT0000062
