miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	2	0.212515	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.106257	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.318772	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.212515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	22	2.337664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	18	1.912634	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	21	2.231407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	967	102.750974	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	27343	2905.398018	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	37348	3968.504011	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	45924	4879.768078	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	707	75.124032	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	18	1.912634	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.318772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	0.743802	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	15	1.593862	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.212515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	6	0.637545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.212515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	23	2.443922	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	73	7.756795	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	8	0.850060	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	25	2.656437	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.212515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.106257	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.106257	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.212515	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.106257	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176031:+	1	0.106257	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	3	0.318772	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	92	9.775687	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	141	14.982303	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	27	2.868952	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	0.212515	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.212515	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.318772	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	6	0.637545	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.106257	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	106	11.263292	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	55	5.844161	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	4	0.425030	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	35	3.719011	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	5	0.531287	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.106257	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	2	0.212515	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	4	0.425030	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.106257	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.106257	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	1.062575	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.212515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	658	69.917416	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.106257	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	19	2.018892	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	71	7.544280	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	20	2.125149	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	45974	4885.080952	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	0.956317	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	4	0.425030	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	23	2.443922	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.212515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	11	1.168832	N	mature,MIMAT0000062
