miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.795962	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.198991	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.397981	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	1.989905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.392934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.392934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	839	166.953047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	19157	3812.061412	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	24457	4866.711174	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	24480	4871.287956	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	567	112.827625	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.591924	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	1.392934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	0.994953	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	1.392934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.198991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.198991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.198991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.596972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	13	2.586877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	25	4.974763	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.198991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.198991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	8	1.591924	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	1.591924	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.397981	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.397981	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.397981	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176004:+	1	0.198991	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.198991	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.397981	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.397981	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	19	3.780820	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	43	8.556592	N	mature,MIMAT0004481
