miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.476997	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.476997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	2.623483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	2.384985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	149	35.536272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4383	1045.338798	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10803	2576.498981	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	20184	4813.853136	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	416	99.215364	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	2.384985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.953994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	2.146486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.238498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.238498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.238498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.238498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	25	5.962462	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	59	14.071410	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	6	1.430991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	9	2.146486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	43	10.255434	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.238498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.476997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.476997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	3	0.715495	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	3	0.715495	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.238498	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176010-94176032:+	1	0.238498	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.238498	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.238498	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	1.669489	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	22	5.246966	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	3.100480	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.238498	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.476997	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.192492	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.238498	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	2.384985	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	0.715495	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	5	1.192492	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.238498	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	417	99.453862	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	44	10.493933	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	53	12.640419	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	1.430991	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	20010	4772.354402	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	1.192492	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	16	3.815976	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	32	7.631951	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10895	2598.440840	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.476997	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4521	1078.251587	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.476997	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	153	36.490266	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.476997	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.238498	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.238498	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.476997	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	25	5.962462	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	57	13.594413	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	17	4.054474	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.238498	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	169	40.306242	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4539	1082.544559	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10842	2585.800421	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	20134	4801.928212	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	382	91.106416	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.238498	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	2	0.476997	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	5	1.192492	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	6	1.430991	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	2	0.476997	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.238498	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	24	5.723963	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	60	14.309908	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	4	0.953994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	12	2.861982	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	41	9.778437	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.238498	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.238498	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	1.430991	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	26	6.200960	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	17	4.054474	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.238498	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113709:+	11	2.623483	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	207	49.369183	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4354	1038.422342	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1865	444.799648	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5361	1278.590302	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1128	269.026275	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.715495	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.238498	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.238498	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	8	1.907988	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.238498	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	12	2.861982	N	mature,MIMAT0000063
