miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.222636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	3	0.333954	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	14	1.558452	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	17	1.892406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	31	3.450858	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	194	21.595690	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8228	915.924417	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	26114	2906.957975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	72009	8015.897099	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1764	196.364933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	48	5.343263	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.111318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.222636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	19	2.115042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	101	11.243117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	6	0.667908	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.222636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	0.890544	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	0.556590	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.111318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	0.779226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.333954	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.222636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.111318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.111318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176004:+	1	0.111318	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.222636	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	4	0.445272	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	3	0.333954	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176031:+	1	0.111318	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	16	1.781088	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	63	7.013033	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	30	3.339540	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.222636	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.111318	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	46	5.120628	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	22	2.448996	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	8	0.890544	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.111318	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.111318	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.111318	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.111318	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	33	3.673494	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.333954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	4	0.445272	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1732	192.802758	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	6	0.667908	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	19	2.115042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.222636	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	100	11.131799	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	70991	7902.575386	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	13	1.447134	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.222636	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.333954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	16	1.781088	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	26002	2894.490361	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	13	1.447134	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	6	0.667908	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8388	933.735295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.111318	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	210	23.376778	N	mature,MIMAT0000062
