miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.498038	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	1.494114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	25	4.150316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	33	5.478417	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1061	176.139403	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	31225	5183.744441	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	49545	8225.095864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	72853	12094.518296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1237	205.357626	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	1.992152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.498038	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.664051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	12	1.992152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.664051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	12	1.992152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	2	0.332025	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	5	0.830063	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	66	10.956834	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	150	24.901895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	8	1.328101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	12	1.992152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	52	8.632657	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.664051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.166013	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.332025	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	31	5.146392	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	47	7.802594	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	17	2.822215	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	25	4.150316	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	0.996076	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.498038	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	2.324177	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.498038	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1256	208.511866	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	6	0.996076	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	44	7.304556	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	147	24.403857	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	6	0.996076	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	21	3.486265	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	72647	12060.319694	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	1.494114	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	8	1.328101	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	60	9.960758	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	9	1.494114	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	0.664051	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	49085	8148.730053	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	15	2.490189	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	0.830063	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	31028	5151.039953	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	6	0.996076	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1016	168.668834	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	6	0.996076	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146609:-	2	0.332025	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.332025	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	4	0.664051	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.166013	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	0.664051	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.664051	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	76	12.616960	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	115	19.091453	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	32	5.312404	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	1074	178.297567	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	31112	5164.985014	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	49624	8238.210862	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	72578	12048.864822	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1203	199.713197	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	5	0.830063	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	6	0.996076	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	19	3.154240	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	6	0.996076	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	13	2.158164	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.332025	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	65	10.790821	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	153	25.399933	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	7	1.162088	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	9	1.494114	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	47	7.802594	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.166013	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	3	0.498038	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	38	6.308480	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	71	11.786897	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	14	2.324177	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.166013	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.166013	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.166013	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	21	3.486265	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	135	22.411705	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	3356	557.138394	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	66778	11085.991555	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	23148	3842.860411	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	39075	6486.943605	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	6427	1066.963187	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.166013	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	21	3.486265	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	4	0.664051	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	13	2.158164	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	3	0.498038	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.332025	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	6	0.996076	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	95	15.771200	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	36	5.976455	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	2	0.332025	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.166013	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	22	3.652278	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	17	2.822215	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	2	0.332025	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	3	0.498038	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.166013	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.332025	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113759:+	1	0.166013	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.166013	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.166013	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.166013	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	53	8.798670	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	193	32.040438	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	3	0.498038	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539816-16539837:+	1	0.166013	N	precursor
hsa-let-7c	hg38:chr21:16539836-16539857:+	6	0.996076	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	30	4.980379	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	10	1.660126	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.166013	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	6	0.996076	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	90	14.941137	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	441	73.211571	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	274	45.487461	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	125	20.751579	N	mature,MIMAT0000064
