miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.134653	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.134653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.269307	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	22	2.962374	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	31	4.174254	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	70	9.425736	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.269307	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	615	82.811821	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	20695	2786.651435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	47831	6440.605208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	78658	10591.564559	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1595	214.772121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	24	3.231681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	12	1.615840	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	30	4.039601	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	74	9.964349	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.269307	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.269307	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	11	1.481187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.269307	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	65	8.752469	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	108	14.542564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	0.673267	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	10	1.346534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	22	2.962374	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.134653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.134653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.134653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.269307	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.134653	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176011-94176033:+	1	0.134653	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.134653	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.134653	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	30	4.039601	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	130	17.504938	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	34	4.578214	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.134653	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.134653	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.134653	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.134653	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	25	3.366334	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	0.942574	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	0.673267	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	21	2.827721	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	4	0.538613	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	4	0.538613	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1606	216.253308	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.134653	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	33	4.443561	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	88	11.849496	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	5	0.673267	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	69	9.291082	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	78392	10555.746763	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	10	1.346534	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	5	0.673267	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	43	5.790095	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	3	0.403960	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	33	4.443561	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	47775	6433.064619	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	11	1.481187	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.269307	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	15	2.019801	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	20720	2790.017769	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	11	1.481187	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	605	81.465287	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	2	0.269307	N	mature,MIMAT0000062
